sma200 sma50 sma20 sma10 vwap10 BolUpper BolLower downSL upSL fivedaymax fivedaymin fivedaymean signal_date sell_date sold_at_loss sold buy_limit prev_close lot ticker fivedayvol
9.3858 12.903999999999998 13.902499999999998 14.224 14.397410689686009 15.22833647185688 13.133092099571694 13.44 14.619999999999996 15.1901 13.07 14.155467514395392 2021-06-28T13:45:41-04:00 X 0.0 0.0 14.14 14.14 5000 HIMX 0.5582156195607708
19.7926 23.286600000000004 24.868 25.125 25.12784230999886 25.380624390838776 24.739375609161225 24.76 25.535000000000004 25.6 24.71 25.18949253731344 2021-06-28T14:06:21-04:00 X 0.0 0.0 25.21 25.21 5000 BOX 0.1527424472296232
8.832875 7.935100000000001 8.723999999999998 9.091 9.312957957452412 9.875736791923009 8.152834636648416 9.355 10.0 10.48 8.4501 9.386068679631526 2021-06-28T14:27:16-04:00 X 0.0 0.0 9.86 9.86 5000 SRNE 0.5760652869430231
21.764325 17.2022 16.75 16.833 16.848301915989957 17.840242100309094 16.198329328262343 17.01 18.68 17.76 16.27 16.987949177932045 2021-06-28T14:48:38-04:00 X 0.0 0.0 17.11 17.11 5000 OPEN 0.3467273906207447
10.34275 7.7455 8.582999999999997 8.757000000000001 8.828014747540056 9.661464218876802 8.115678638266058 8.78 9.58 9.91 8.392 8.919130012717252 2021-06-28T15:29:43-04:00 X 0.0 0.0 9.23 9.23 5000 INO 0.3268620872182745
37.904025 42.1077 42.47849999999999 41.995000000000005 42.38782592120955 45.21826211888786 39.31173788111213 43.14 45.33 48.27 40.71 44.11698389788904 2021-06-28T15:50:45-04:00 X 0.0 0.0 43.41 43.41 5000 GRWG 1.936675752918125
17.651607800403003 16.88655729699 16.641 16.306 16.319573297065826 17.58511965598432 15.372023201158532 17.0 17.58 17.495 16.16 16.606604309126595 2021-07-01T02:22:12-04:00 X 0.0 0.0 17.46 17.46 5000 COG 0.2931610724382878
180.49911458726 200.11191183966 198.661 194.862 194.5326088014957 202.89371032478047 190.00771824664807 196.72 203.155 198.96 191.67 195.5587043103448 2021-07-01T02:27:55-04:00 X 0.0 0.0 198.63 198.63 5000 MMM 1.81385973806872
0.0 13.316400000000002 11.8555 11.853000000000003 11.831739599271742 12.632479502704108 11.033234783010176 12.0 12.650000000000002 12.897 11.71 12.077206934543096 2021-07-01T02:28:16-04:00 X 0.0 0.0 12.46 12.46 5000 MUDS 0.2211824451239269
63.096984258098 66.69458446122201 67.43233553587001 67.443 67.36301282446644 68.79151579207269 66.36004534647017 68.52 73.95 68.885 66.484 67.81143874372334 2021-07-01T02:28:54-04:00 X 0.0 0.0 68.86 68.86 5000 GILD 0.450444883027202
27.181969622763 34.390538327758 32.834999999999994 30.875 30.886831864401696 34.12079303493953 29.04777839363191 31.0 32.77 31.97 30.12 31.03516030317849 2021-07-01T02:29:20-04:00 X 0.0 0.0 31.91 31.91 5000 MOS 0.4316842317325507
12.131875000000004 8.750599999999999 9.766499999999995 9.791999999999998 9.836783248869096 10.653777368917977 9.107651202510596 9.68 10.1478 10.305 9.57 9.826736201780417 2021-07-01T02:29:35-04:00 X 0.0 0.0 9.94 9.94 5000 GOEV 0.1191948680457101
46.232354767405006 53.50080854406 53.2355 52.05 51.96235346130217 55.04549803308733 50.35307339548412 52.12 55.49 53.0 50.885 52.1836077710563 2021-07-01T02:30:48-04:00 X 0.0 0.0 52.61 52.61 5000 WBA 0.28536396334096
98.21177480994 126.64719999999996 131.85049999999998 130.13100000000003 129.73622021255716 134.77556918187352 126.77300224669789 121.92 132.0 133.35 128.3171 130.7253546380579 2021-07-01T02:31:33-04:00 X 0.0 0.0 130.48 130.48 5000 SPG 0.8166295144119685
43.49942745466102 48.222797139352 47.91722660399999 47.142 46.9774690164275 48.61483330743141 46.19310819528287 45.68 49.95 47.77 46.63 47.309804743988686 2021-07-01T02:32:02-04:00 X 0.0 0.0 47.68 47.68 5000 MO 0.2385370289119223
36.30955 34.1202 41.24549999999999 43.18599999999999 43.23190215758255 46.221162814060136 39.08740861451129 42.84 45.6 45.485 40.2199 43.17137767257177 2021-07-01T02:32:15-04:00 X 0.0 0.0 44.42 44.42 5000 XPEV 1.5263107939407126
63.95295 41.1054 26.454 23.79 23.2291177162638 30.171340600341924 19.795802256800936 20.0 25.25 26.545 23.1 25.01666402173913 2021-07-01T02:33:07-04:00 X 0.0 0.0 25.23 25.23 5000 TAL 0.6198148263142317
61.25565 20.8642 14.5785 14.123 14.026299328476444 16.38789169653209 12.386394017753624 12.81 17.0 15.91 13.86 14.982932765451665 2021-07-01T02:33:21-04:00 X 0.0 0.0 14.77 14.77 5000 GOTU 0.3178338163877383
18.331995447354 21.603740770558 24.915351926395 28.573703852790004 26.76913548797502 36.1024444938779 16.582846724393544 26.025 39.0 35.28 28.445 31.3991395553497 2021-07-01T02:33:50-04:00 X 0.0 0.0 34.7 34.7 5000 SWBI 1.753201360863606
20.822625 19.8496 21.454 20.465 20.44244995436801 22.57934523703001 19.25351190582713 20.9499 21.85 22.29 19.96 20.65486816749212 2021-07-01T02:34:07-04:00 X 0.0 0.0 21.45 21.45 5000 TTCF 0.6603016674147806
135.372375 128.24710000000002 125.4945 125.231 125.54028625027684 131.791401630105 116.86859836989504 121.22 128.8 133.76 122.48 127.68739808241534 2021-07-01T02:34:25-04:00 X 0.0 0.0 127.02 127.02 5000 PDD 2.4202628872358094
19.1163118897425 22.509701090442 23.676 23.130000000000003 23.138857438254576 24.63243595162497 22.113278334089323 22.0 23.975 24.085 22.64 23.28944525469427 2021-07-01T02:34:45-04:00 X 0.0 0.0 23.12 23.12 5000 HAL 0.4714199855435978
1.9924255 4.8553 8.6985 8.991 10.260938595096995 11.770804691884102 5.630623879544469 9.9225 16.5375 15.39 8.17 10.569672142390594 2021-07-01T02:35:09-04:00 X 0.0 0.0 13.23 13.23 5000 VTNR 2.1851095459912933
21.269296000000004 44.7466 41.38949999999999 37.894 38.422640119520665 41.934082294752514 34.95163199096176 38.77 40.72 42.55 37.61 39.34883859737639 2021-07-01T02:35:33-04:00 X 0.0 0.0 38.89 38.89 5000 PLBY 0.9281861622055644
0.0 39.702 39.083 39.604 39.95895675118761 41.900340037876774 36.76251710498036 41.41 42.699999999999996 44.38 37.3114 39.67158935525747 2021-07-01T02:36:02-04:00 X 0.0 0.0 41.82 41.82 5000 CPNG 2.050959954938443
